Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,5091.0748,0.5335,0.7476,0.4147,158788.0952,128566.9070,31.1895,25.2534,30.9320,8744.79,6650.09
Average,5091.0748,0.5335,0.7476,0.4147,158788.0952,128566.9070,31.1895,25.2534,30.9320,8744.79,6650.09
