Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,6758.7771,0.4637,0.8303,0.3217,214261.1576,170648.3270,31.7012,25.2484,31.0760,8844.11,6646.71
Average,6758.7771,0.4637,0.8303,0.3217,214261.1576,170648.3270,31.7012,25.2484,31.0760,8844.11,6646.71
