Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,14249.9322,0.0387,0.0795,0.0256,449777.8393,377547.6801,31.5635,26.4947,49.5110,9228.25,6684.61
Average,14249.9322,0.0387,0.0795,0.0256,449777.8393,377547.6801,31.5635,26.4947,49.5110,9228.25,6684.61
